movie_id,movie_title,genre
2844,Fantômas - À l'ombre de la guillotine (1913),Crime|Drama
7264,The Rink (1916),Comedy|Short
8133,The Immigrant (1917),Short|Comedy|Drama|Romance
12349,The Kid (1921),Comedy|Drama|Family
13427,Nanook of the North (1922),Documentary
14142,The Hunchback of Notre Dame (1923),Drama|Romance
14538,Three Ages (1923),Comedy
14872,Entr'acte (1924),Short
15163,The Navigator (1924),Action|Comedy
15324,Sherlock Jr. (1924),Comedy|Fantasy
15400,The Thief of Bagdad (1924),Adventure|Family|Fantasy|Romance
17925,The General (1926),Action|Adventure|Comedy|Romance|War
18773,The Circus (1928),Comedy|Romance
19729,The Broadway Melody (1929),Musical|Romance
19760,Chelovek s kino-apparatom (1929),Documentary
20530,Un chien andalou (1929),Short|Fantasy
20629,All Quiet on the Western Front (1930),Drama|War
20902,Free and Easy (1930),Comedy|Musical
21577,L'âge d'or (1930),Comedy|Drama
21746,Cimarron (1931),Drama|Western
21884,Frankenstein (1931),Horror|Sci-Fi
22958,Grand Hotel (1932),Drama|Romance
23876,Cavalcade (1933),Drama|Romance|War
23969,Duck Soup (1933),Comedy|Musical
25132,Forsaking All Others (1934),Comedy|Drama|Romance
25456,Man of Aran (1934),Documentary
25586,Of Human Bondage (1934),Drama|Romance
25878,The Thin Man (1934),Comedy|Crime|Mystery
26752,Mutiny on the Bounty (1935),Adventure|Drama|History
27698,The Great Ziegfeld (1936),Biography|Drama|Musical|Romance
27977,Modern Times (1936),Comedy|Drama
29583,Snow White and the Seven Dwarfs (1937),Animation|Family|Fantasy|Musical|Romance
29892,The Bad Man of Brimstone (1937),Western
31235,Dodge City (1939),Western
31381,Gone with the Wind (1939),Drama|Romance|War
31385,"Goodbye, Mr. Chips (1939)",Drama|Romance
31742,Of Mice and Men (1939),Drama
32138,The Wizard of Oz (1939),Adventure|Family|Fantasy|Musical
32194,"All This, and Heaven Too (1940)",Drama|Romance
32553,The Great Dictator (1940),Comedy|Drama|War
32946,Primrose Path (1940),Drama
32976,Rebecca (1940),Drama|Mystery
33467,Citizen Kane (1941),Drama|Mystery
33870,The Maltese Falcon (1941),Crime|Drama|Film-Noir|Mystery
34522,The Black Swan (1942),Action|Adventure|Drama|Family|History
34583,Casablanca (1942),Drama|Romance|War
35093,Mrs. Miniver (1942),Drama|Romance|War
35279,Saboteur (1942),Action|Thriller
36027,I Walked with a Zombie (1943),Horror
36261,Phantom of the Opera (1943),Drama|Horror|Music|Romance|Thriller
36342,Shadow of a Doubt (1943),Thriller
36775,Double Indemnity (1944),Crime|Drama|Film-Noir|Thriller
36777,Dragon Seed (1944),Drama|History|War
37101,"Murder, My Sweet (1944)",Crime|Drama|Film-Noir|Mystery|Thriller
37536,The Bells of St. Mary's (1945),Drama|Family
37549,The Body Snatcher (1945),Horror|Thriller
38109,Spellbound (1945),Film-Noir|Mystery|Romance|Thriller
38355,The Big Sleep (1946),Crime|Film-Noir|Mystery|Thriller
38574,Great Expectations (1946),Drama|Romance
38650,It's a Wonderful Life (1946),Drama|Family|Fantasy
38787,Notorious (1946),Drama|Romance|Thriller
39416,Gentleman's Agreement (1947),Drama|Romance
39834,Skepp till India land (1947),Drama
40725,The Red Shoes (1948),Drama|Music|Romance
40746,Rope (1948),Crime|Drama|Mystery|Thriller
40897,The Treasure of the Sierra Madre (1948),Action|Adventure|Drama|Western
41113,All the King's Men (1949),Drama
41175,The Big Cat (1949),Action|Adventure|Drama|Romance|Western
42041,White Heat (1949),Crime|Drama|Thriller
42530,Deadly Is the Female (1950),Crime|Drama|Film-Noir|Romance|Thriller
42546,Harvey (1950),Comedy|Drama
42792,No Way Out (1950),Drama|Film-Noir
42994,Stage Fright (1950),Crime|Drama|Thriller
43014,Sunset Blvd. (1950),Drama|Film-Noir
43265,The African Queen (1951),Adventure|Romance|War
43338,Ace in the Hole (1951),Drama|Film-Noir
43511,Europa '51 (1952),Drama
43859,No Highway (1951),Drama|Thriller
44079,Strangers on a Train (1951),Crime|Film-Noir|Mystery|Romance|Thriller
44081,A Streetcar Named Desire (1951),Drama
45061,The Quiet Man (1952),Comedy|Drama|Romance
45152,Singin' in the Rain (1952),Comedy|Musical|Romance
45709,Duck Dodgers in the 24½th Century (1953),Family|Sci-Fi|Animation|Comedy|Short
46250,Roman Holiday (1953),Comedy|Drama|Romance
46268,Le salaire de la peur (1953),Adventure|Drama|Thriller
46435,Titanic (1953),Drama|History|Romance
46688,Ah! Les belles bacchantes (1954),Comedy
46912,Dial M for Murder (1954),Crime|Mystery|Thriller
47296,On the Waterfront (1954),Crime|Drama
47396,Rear Window (1954),Mystery|Thriller
47437,Sabrina (1954),Comedy|Drama|Romance
47478,Shichinin no samurai (1954),Action|Adventure|Drama
47811,All That Heaven Allows (1955),Drama|Romance
48028,East of Eden (1955),Drama|Romance
48363,Les maîtres fous (1955),Documentary|Short
48424,The Night of the Hunter (1955),Drama|Film-Noir|Thriller
48728,To Catch a Thief (1955),Crime|Mystery|Romance|Thriller
48980,Le ballon rouge (1956),Family|Fantasy|Short
49207,Il ferroviere (1956),Drama
49406,The Killing (1956),Crime|Film-Noir|Thriller
49730,The Searchers (1956),Western
49833,The Ten Commandments (1956),Adventure|Drama|History
50083,12 Angry Men (1957),Drama
50111,Ali Baba Bunny (1957),Family|Animation|Short|Comedy
50212,The Bridge on the River Kwai (1957),Adventure|Drama|History|War
50237,Celui qui doit mourir (1957),Drama
50371,A Face in the Crowd (1957),Drama
50986,Smultronstället (1957),Drama
51201,Witness for the Prosecution (1957),Drama|Mystery
51207,The Wrong Man (1956),Crime|Drama
51453,Carry on Sergeant (1958),Comedy|War
51534,Desire Under the Elms (1958),Drama|Romance
51701,Hare-Way to the Stars (1958),Family|Animation|Short|Comedy|Sci-Fi
51744,House on Haunted Hill (1959),Drama|Horror|Thriller
52311,Touch of Evil (1958),Crime|Film-Noir|Thriller
52357,Vertigo (1958),Mystery|Romance|Thriller
52893,"Hiroshima, mon amour (1959)",Drama|Romance|War
53125,North by Northwest (1959),Action|Adventure|Crime|Thriller
53198,Les quatre cents coups (1959),Crime|Drama
53221,Rio Bravo (1959),Drama|Western
53291,Some Like It Hot (1959),Comedy
53472,À bout de souffle (1960),Crime|Drama
53946,Inherit the Wind (1960),Drama|History
54195,Pollyanna (1960),Drama|Family
54215,Psycho (1960),Horror|Mystery|Thriller
54310,Sink the Bismarck! (1960),Action|Drama|History|War
54331,Spartacus (1960),Action|Adventure|Biography|Drama|History
54357,Swiss Family Robinson (1960),Adventure|Family
54599,Accattone (1961),Drama
54698,Breakfast at Tiffany's (1961),Comedy|Drama|Romance
54997,The Hustler (1961),Drama|Sport
55031,Judgment at Nuremberg (1961),Drama|History|War
55630,Yôjinbô (1961),Action|Adventure
55798,Birdman of Alcatraz (1962),Biography|Drama
55804,El vampiro sangriento (1962),Horror
55928,Dr. No (1962),Action|Adventure|Crime|Thriller
56058,Seppuku (1962),Drama
56134,Kanchenjungha (1962),Drama
56172,Lawrence of Arabia (1962),Adventure|Biography|Drama|History|War
56193,Lolita (1962),Drama|Romance
56217,The Man Who Shot Liberty Valance (1962),Drama|Romance|Western
56255,Mr. Hobbs Takes a Vacation (1962),Comedy|Family
56576,The Damned (1963),Drama|Fantasy|Horror|Romance|Sci-Fi
56592,To Kill a Mockingbird (1962),Crime|Drama|Mystery
56663,Vivre sa vie: Film en douze tableaux (1962),Drama
56687,What Ever Happened to Baby Jane? (1962),Drama|Thriller
56869,The Birds (1963),Horror|Thriller
56983,Dementia 13 (1963),Horror|Thriller
57012,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),Comedy|War
57076,From Russia with Love (1963),Action|Adventure|Crime|Thriller
57115,The Great Escape (1963),Adventure|Drama|History|Thriller|War
57427,Le procès (1962),Crime|Drama|Fantasy|Mystery|Thriller
57480,Scum of the Earth (1963),Drama|Thriller
58150,Goldfinger (1964),Action|Adventure|Crime|Thriller
58182,A Hard Day's Night (1964),Comedy|Musical
58331,Mary Poppins (1964),Comedy|Family|Fantasy|Musical
58425,Of Human Bondage (1964),Drama
58715,Il vangelo secondo Matteo (1964),Biography|Drama|History
58777,Zulu (1964),Action|Drama|History|War
58863,La 317ème section (1965),War
59282,Hot Enough for June (1964),Comedy
59319,The Ipcress File (1965),Drama|Thriller
59604,El planeta de las mujeres invasoras (1967),Sci-Fi|Fantasy|Horror
59646,Repulsion (1965),Thriller
59800,Thunderball (1965),Action|Crime|Thriller
60153,Batman (1966),Adventure|Comedy|Crime|Family|Sci-Fi
60196,"Il buono, il brutto, il cattivo. (1966)",Adventure|Western
60315,Django (1966),Western
60773,Objectif: 500 millions (1966),Crime|Drama|Thriller
61405,Billion Dollar Brain (1967),Adventure|Drama|Thriller
61512,Cool Hand Luke (1967),Crime|Drama
61722,The Graduate (1967),Comedy|Drama|Romance
62055,The Nude Restaurant (1967),
62136,Playtime (1967),Comedy
62271,Signore & signori (1966),Comedy
62512,You Only Live Twice (1967),Action|Adventure|Crime|Thriller
62622,2001: A Space Odyssey (1968),Adventure|Mystery|Sci-Fi
62994,Funny Girl (1968),Biography|Comedy|Drama|Musical|Romance
63285,Witchfinder General (1968),Drama|Horror
63350,Night of the Living Dead (1968),Horror|Sci-Fi
63442,Planet of the Apes (1968),Action|Mystery|Sci-Fi
63462,The Producers (1968),Comedy
63522,Rosemary's Baby (1968),Drama|Horror
63555,Sayat Nova (1968),Biography|Drama|Music
63599,The Shoes of the Fisherman (1968),Drama
64115,Butch Cassidy and the Sundance Kid (1969),Adventure|Biography|Crime|Western
64276,Easy Rider (1969),Drama
64541,Kes (1969),Drama
64603,The Love Bug (1968),Comedy|Family|Fantasy|Sport
64665,Midnight Cowboy (1969),Drama
64757,On Her Majesty's Secret Service (1969),Action|Adventure|Crime|Romance|Thriller
65088,"They Shoot Horses, Don't They? (1969)",Drama
65126,True Grit (1969),Adventure|Western|Drama
65207,Where Eagles Dare (1968),Action|Adventure|War
65421,The AristoCats (1970),Animation|Adventure|Comedy|Family|Music
65489,Brancaleone alle crociate (1970),Adventure|Comedy
65724,Five Easy Pieces (1970),Drama
65938,Kelly's Heroes (1970),Action|Adventure|Comedy|War
66011,Love Story (1970),Drama|Romance
66580,Woodstock (1970),Documentary|History|Music
66730,10 Rillington Place (1971),Biography|Crime|Drama|Thriller
66895,Carry on at Your Convenience (1971),Comedy
66921,A Clockwork Orange (1971),Crime|Drama|Sci-Fi
66963,Dad's Army (1971),Comedy|War
66995,Diamonds Are Forever (1971),Action|Adventure|Crime|Thriller
